algorithm,arrType,n,dominantOps
linearSearch,sorted,1,1
linearSearch,sortedInReverse,1,1
linearSearch,randomOrder,1,1
binarySearch,sorted,1,1
bubbleSort,sorted,1,0
bubbleSort,sortedInReverse,1,0
bubbleSort,randomOrder,1,0
insertSort,sorted,1,0
insertSort,sortedInReverse,1,0
insertSort,randomOrder,1,0
quickSort,sorted,1,1
quickSort,sortedInReverse,1,1
quickSort,randomOrder,1,1
linearSearch,sorted,2,1
linearSearch,sortedInReverse,2,2
linearSearch,randomOrder,2,2
binarySearch,sorted,2,1
bubbleSort,sorted,2,1
bubbleSort,sortedInReverse,2,1
bubbleSort,randomOrder,2,1
insertSort,sorted,2,1
insertSort,sortedInReverse,2,2
insertSort,randomOrder,2,2
quickSort,sorted,2,3
quickSort,sortedInReverse,2,3
quickSort,randomOrder,2,3
linearSearch,sorted,3,1
linearSearch,sortedInReverse,3,3
linearSearch,randomOrder,3,1
binarySearch,sorted,3,2
bubbleSort,sorted,3,2
bubbleSort,sortedInReverse,3,3
bubbleSort,randomOrder,3,2
insertSort,sorted,3,2
insertSort,sortedInReverse,3,5
insertSort,randomOrder,3,3
quickSort,sorted,3,5
quickSort,sortedInReverse,3,5
quickSort,randomOrder,3,3
linearSearch,sorted,4,4
linearSearch,sortedInReverse,4,4
linearSearch,randomOrder,4,4
binarySearch,sorted,4,3
bubbleSort,sorted,4,3
bubbleSort,sortedInReverse,4,6
bubbleSort,randomOrder,4,5
insertSort,sorted,4,3
insertSort,sortedInReverse,4,9
insertSort,randomOrder,4,6
quickSort,sorted,4,7
quickSort,sortedInReverse,4,7
quickSort,randomOrder,4,5
linearSearch,sorted,5,1
linearSearch,sortedInReverse,5,5
linearSearch,randomOrder,5,5
binarySearch,sorted,5,2
bubbleSort,sorted,5,4
bubbleSort,sortedInReverse,5,10
bubbleSort,randomOrder,5,10
insertSort,sorted,5,4
insertSort,sortedInReverse,5,14
insertSort,randomOrder,5,7
quickSort,sorted,5,9
quickSort,sortedInReverse,5,9
quickSort,randomOrder,5,5
linearSearch,sorted,6,3
linearSearch,sortedInReverse,6,6
linearSearch,randomOrder,6,6
binarySearch,sorted,6,1
bubbleSort,sorted,6,5
bubbleSort,sortedInReverse,6,15
bubbleSort,randomOrder,6,14
insertSort,sorted,6,5
insertSort,sortedInReverse,6,20
insertSort,randomOrder,6,14
quickSort,sorted,6,11
quickSort,sortedInReverse,6,11
quickSort,randomOrder,6,7
linearSearch,sorted,7,1
linearSearch,sortedInReverse,7,7
linearSearch,randomOrder,7,6
binarySearch,sorted,7,3
bubbleSort,sorted,7,6
bubbleSort,sortedInReverse,7,21
bubbleSort,randomOrder,7,21
insertSort,sorted,7,6
insertSort,sortedInReverse,7,27
insertSort,randomOrder,7,15
quickSort,sorted,7,13
quickSort,sortedInReverse,7,13
quickSort,randomOrder,7,9
linearSearch,sorted,8,5
linearSearch,sortedInReverse,8,8
linearSearch,randomOrder,8,8
binarySearch,sorted,8,3
bubbleSort,sorted,8,7
bubbleSort,sortedInReverse,8,28
bubbleSort,randomOrder,8,28
insertSort,sorted,8,7
insertSort,sortedInReverse,8,35
insertSort,randomOrder,8,23
quickSort,sorted,8,15
quickSort,sortedInReverse,8,15
quickSort,randomOrder,8,11
linearSearch,sorted,9,3
linearSearch,sortedInReverse,9,9
linearSearch,randomOrder,9,9
binarySearch,sorted,9,3
bubbleSort,sorted,9,8
bubbleSort,sortedInReverse,9,36
bubbleSort,randomOrder,9,36
insertSort,sorted,9,8
insertSort,sortedInReverse,9,44
insertSort,randomOrder,9,29
quickSort,sorted,9,17
quickSort,sortedInReverse,9,17
quickSort,randomOrder,9,13
linearSearch,sorted,10,5
linearSearch,sortedInReverse,10,10
linearSearch,randomOrder,10,10
binarySearch,sorted,10,1
bubbleSort,sorted,10,9
bubbleSort,sortedInReverse,10,45
bubbleSort,randomOrder,10,45
insertSort,sorted,10,9
insertSort,sortedInReverse,10,54
insertSort,randomOrder,10,33
quickSort,sorted,10,19
quickSort,sortedInReverse,10,19
quickSort,randomOrder,10,13
linearSearch,sorted,11,2
linearSearch,sortedInReverse,11,11
linearSearch,randomOrder,11,11
binarySearch,sorted,11,4
bubbleSort,sorted,11,10
bubbleSort,sortedInReverse,11,55
bubbleSort,randomOrder,11,55
insertSort,sorted,11,10
insertSort,sortedInReverse,11,65
insertSort,randomOrder,11,36
quickSort,sorted,11,21
quickSort,sortedInReverse,11,21
quickSort,randomOrder,11,17
linearSearch,sorted,12,8
linearSearch,sortedInReverse,12,12
linearSearch,randomOrder,12,12
binarySearch,sorted,12,4
bubbleSort,sorted,12,11
bubbleSort,sortedInReverse,12,66
bubbleSort,randomOrder,12,65
insertSort,sorted,12,11
insertSort,sortedInReverse,12,77
insertSort,randomOrder,12,49
quickSort,sorted,12,23
quickSort,sortedInReverse,12,23
quickSort,randomOrder,12,15
linearSearch,sorted,13,1
linearSearch,sortedInReverse,13,13
linearSearch,randomOrder,13,13
binarySearch,sorted,13,3
bubbleSort,sorted,13,12
bubbleSort,sortedInReverse,13,78
bubbleSort,randomOrder,13,68
insertSort,sorted,13,12
insertSort,sortedInReverse,13,90
insertSort,randomOrder,13,58
quickSort,sorted,13,25
quickSort,sortedInReverse,13,25
quickSort,randomOrder,13,19
linearSearch,sorted,14,1
linearSearch,sortedInReverse,14,14
linearSearch,randomOrder,14,14
binarySearch,sorted,14,3
bubbleSort,sorted,14,13
bubbleSort,sortedInReverse,14,91
bubbleSort,randomOrder,14,63
insertSort,sorted,14,13
insertSort,sortedInReverse,14,104
insertSort,randomOrder,14,59
quickSort,sorted,14,27
quickSort,sortedInReverse,14,27
quickSort,randomOrder,14,21
linearSearch,sorted,15,5
linearSearch,sortedInReverse,15,15
linearSearch,randomOrder,15,15
binarySearch,sorted,15,4
bubbleSort,sorted,15,14
bubbleSort,sortedInReverse,15,105
bubbleSort,randomOrder,15,95
insertSort,sorted,15,14
insertSort,sortedInReverse,15,119
insertSort,randomOrder,15,60
quickSort,sorted,15,29
quickSort,sortedInReverse,15,29
quickSort,randomOrder,15,19
linearSearch,sorted,16,10
linearSearch,sortedInReverse,16,16
linearSearch,randomOrder,16,16
binarySearch,sorted,16,3
